host,lat,long
C.mertensiana,49.216667,-124.600000
C.mertensiana,49.566667,-125.916667
C.mertensiana,55.916667,-126.700000
C.mertensiana,54.816667,-127.333333
C.mertensiana,49.683333,-125.433333
C.mertensiana,49.683037,-125.383691
C.mertensiana,51.283333,-117.583333
C.mertensiana,49.933333,-123.050000
C.mertensiana,55.466667,-128.666667
C.mertensiana,50.166667,-127.750000
C.mertensiana,57.683333,-126.783333
C.mertensiana,51.591667,-127.983333
C.mertensiana,49.005000,-121.850000
C.mertensiana,50.438889,-126.608333
C.mertensiana,49.050000,-121.284167
C.mertensiana,49.700000,-120.916667
C.mertensiana,49.200667,-124.983667
C.mertensiana,56.823611,-128.583889
C.mertensiana,50.345278,-127.288333
C.mertensiana,56.561389,-129.472222
C.mertensiana,58.717222,-129.521111
C.mertensiana,57.908333,-127.963611
C.mertensiana,55.747108,-124.806778
C.mertensiana,57.418528,-124.720831
C.mertensiana,57.068694,-124.226192
C.mertensiana,55.737778,-127.247778
C.mertensiana,56.146831,-127.196581
C.mertensiana,51.843750,-125.204778
C.mertensiana,52.438639,-119.754028
C.mertensiana,51.608000,-117.636056
C.mertensiana,52.868667,-118.890556
C.tetragona,54.886944,-120.948889
C.tetragona,58.640833,-124.472500
C.tetragona,57.720000,-130.196667
C.tetragona,58.715833,-128.255278
C.tetragona,57.598056,-127.234444
C.tetragona,56.965278,-126.222500
C.tetragona,57.430108,-123.820650
C.tetragona,57.380469,-127.739000
C.tetragona,57.026717,-124.233817
C.tetragona,59.591028,-133.293278
C.tetragona,52.726389,-124.832497
C.tetragona,56.799528,-123.538583
