lat,long
57.007028,-124.217972
58.112444,-125.695083
57.931333,-124.328833
57.291778,-124.142583
56.162722,-126.691000
56.165417,-127.227111
59.600722,-133.313667
59.277472,-133.653194
54.858139,-121.840528
54.630972,-120.939694
54.436306,-120.966056
56.805222,-123.549639
56.517694,-123.685806
55.963278,-123.436917
52.852778,-118.904167
50.601667,-122.306667
50.190278,-122.599944
49.630833,-125.430556
57.228889,-130.134167
57.590556,-127.559722
57.481667,-127.356944
57.293056,-127.202778
57.084722,-127.225833
50.079736,-114.827006
50.019708,-114.759361
50.009333,-114.749639
49.976389,-121.268611
57.262778,-127.124444
50.079736,-114.827006
50.019708,-114.759361
50.009333,-114.749639
49.976389,-121.268611
57.262778,-127.124444
